"TRIP_ID","LATITUDE","LONGITUDE"
"T107",41.162247,-8.604072
"T109",41.16078,-8.604333
"T110",41.147559,-8.620236
"T111",41.153688,-8.664903
"T112",41.144103,-8.599707
"T113",41.153517,-8.605467
"T114",41.179212,-8.611677
"T115",41.119056,-8.622504
"T116",41.233212,-8.618832
"T117",41.151645,-8.581833
"T118",41.184999,-8.632449
"T119",41.174118,-8.564103
"T120",41.162616,-8.617833
"T121",41.147388,-8.588079
"T122",41.155614,-8.619147
"T123",41.161221,-8.604828
"T124",41.182416,-8.597295
"T125",41.159853,-8.640837
"T126",41.161941,-8.637993
"T127",41.154921,-8.648757
"T128",41.166099,-8.594883
"T129",41.164416,-8.632341
"T130",41.157513,-8.625825
"T131",41.306517,-7.744959
"T132",41.157468,-8.625159
"T133",41.149899,-8.614098
"T134",41.169762,-8.66655
"T135",41.167449,-8.603496
"T136",41.151177,-8.600553
"T137",41.158854,-8.598492
"T138",41.173515,-8.654769
"T139",41.182848,-8.582571
"T140",41.183865,-8.582355
"T141",41.145759,-8.610714
"T142",41.147883,-8.610642
"T143",41.161527,-8.610291
"T144",41.150718,-8.61021
"T145",41.169564,-8.582661
"T146",41.157387,-8.626131
"T147",41.147559,-8.62209
"T148",41.163543,-8.616285
"T149",41.146596,-8.58483
"T151",41.148765,-8.610642
"T152",41.137992,-8.633619
"T153",41.147469,-8.617968
"T154",41.148018,-8.607582
"T155",41.189175,-8.629893
"T156",41.143212,-8.610309
"T157",41.172084,-8.583768
"T158",41.146848,-8.619993
"T159",41.160861,-8.629641
"T160",41.181309,-8.65323
"T161",41.144454,-8.606088
"T162",41.155956,-8.620857
"T163",41.145984,-8.62371
"T164",41.154606,-8.630667
"T166",41.104827,-8.591949
"T167",41.161392,-8.596602
"T168",41.148999,-8.585721
"T169",41.180868,-8.582949
"T170",41.151402,-8.646039
"T171",41.148792,-8.584218
"T172",41.156694,-8.628318
"T173",41.162742,-8.684334
"T174",41.174325,-8.659017
"T175",41.178735,-8.660511
"T176",41.154408,-8.604864
"T177",41.152491,-8.620065
"T178",41.142735,-8.614143
"T179",41.152761,-8.596539
"T180",41.148081,-8.614386
"T181",41.155173,-8.604666
"T182",41.16537,-8.603649
"T183",41.178096,-8.613801
"T184",41.182893,-8.60058
"T185",41.164452,-8.663418
"T186",41.152518,-8.652582
"T187",41.156082,-8.593821
"T188",41.14089,-8.610084
"T189",41.149917,-8.613864
"T190",41.156604,-8.621199
"T191",41.159709,-8.604468
"T192",41.157999,-8.623638
"T193",41.14737,-8.608302
"T194",41.148297,-8.619606
"T195",41.148126,-8.612172
"T196",41.148135,-8.618121
"T197",41.151051,-8.60184
"T198",41.166072,-8.641548
"T199",41.152014,-8.617896
"T200",41.162175,-8.649855
"T201",41.14656,-8.614593
"T202",41.165784,-8.580285
"T203",41.1732,-8.607582
"T204",41.154588,-8.611929
"T205",41.14791,-8.600823
"T206",41.187267,-8.598051
"T207",41.161815,-8.60004
"T208",41.208228,-8.607789
"T209",41.154381,-8.626545
"T210",41.16807,-8.653104
"T211",41.144922,-8.616654
"T212",41.149314,-8.587701
"T213",41.147109,-8.611245
"T214",41.146848,-8.596233
"T215",41.155704,-8.605323
"T216",41.157243,-8.589276
"T217",41.151402,-8.651241
"T218",41.123907,-8.614746
"T219",41.15115,-8.614611
"T220",41.157954,-8.636706
"T221",41.148981,-8.620956
"T222",41.153598,-8.605503
"T223",41.175306,-8.627562
"T224",41.220756,-8.553312
"T225",41.153688,-8.65845
"T226",41.153598,-8.653185
"T227",41.14899,-8.610516
"T228",41.071653,-8.641656
"T229",41.23638,-8.669979
"T230",41.546421,-7.599429
"T231",41.154993,-8.604765
"T232",41.14305,-8.60238
"T233",41.153868,-8.610156
"T234",41.157495,-8.626023
"T235",41.146056,-8.614008
"T236",41.156523,-8.628066
"T237",41.161536,-8.609922
"T238",41.129289,-8.607897
"T239",41.183226,-8.684811
"T240",41.150664,-8.667405
"T241",41.144445,-8.606169
"T242",41.160717,-8.611596
"T243",41.16735,-8.633223
"T244",41.184927,-8.680932
"T245",41.181147,-8.613693
"T246",41.17671,-8.663463
"T247",41.171445,-8.66178
"T248",41.154399,-8.645688
"T249",41.15169,-8.62812
"T250",41.172381,-8.583174
"T251",41.181372,-8.611218
"T252",41.161185,-8.64072
"T253",41.154723,-8.610003
"T254",41.148621,-8.607321
"T255",41.134185,-8.610084
"T256",41.148315,-8.613675
"T257",41.160492,-8.593956
"T258",41.152329,-8.607069
"T259",41.145975,-8.610759
"T260",41.181048,-8.65431
"T261",41.076099,-8.651358
"T262",41.149422,-8.603577
"T263",41.147172,-8.602173
"T264",41.153409,-8.607312
"T265",41.156748,-8.681517
"T266",41.147712,-8.614107
"T267",41.147397,-8.587044
"T268",41.1525,-8.635536
"T269",41.140296,-8.613585
"T270",41.159367,-8.638353
"T271",41.147838,-8.607789
"T272",41.180526,-8.684739
"T273",41.148225,-8.606124
"T274",41.15196,-8.627022
"T275",41.152698,-8.632989
"T276",41.177853,-8.669025
"T277",41.155254,-8.667198
"T278",41.154255,-8.647191
"T279",41.145624,-8.610669
"T280",41.160834,-8.606655
"T281",41.149008,-8.612694
"T282",41.143176,-8.610327
"T283",41.160384,-8.609517
"T284",41.144913,-8.597898
"T285",41.169321,-8.612739
"T286",41.130738,-8.60328
"T287",41.181129,-8.65431
"T288",41.155704,-8.595054
"T289",41.158161,-8.650323
"T290",41.158854,-8.610732
"T291",41.155596,-8.602569
"T292",41.196663,-8.618112
"T293",41.14377,-8.608212
"T294",41.155632,-8.602587
"T295",41.130765,-8.648901
"T296",41.153022,-8.64702
"T297",41.169807,-8.600112
"T298",41.164515,-8.618418
"T299",41.157171,-8.662545
"T300",41.180805,-8.602569
"T301",41.235147,-8.668998
"T302",41.149404,-8.604594
"T303",41.172777,-8.611902
"T304",41.158692,-8.652771
"T305",41.154696,-8.630631
"T306",41.158017,-8.630316
"T307",41.146452,-8.620182
"T308",41.16906,-8.560458
"T309",41.161221,-8.59743
"T310",41.177376,-8.675685
"T311",41.150943,-8.598978
"T312",41.169861,-8.628732
"T313",41.160933,-8.672688
"T314",41.160303,-8.609994
"T315",41.148459,-8.64657
"T316",41.14908,-8.587215
"T317",41.143194,-8.635824
"T318",41.148351,-8.675073
"T319",41.162346,-8.665533
"T320",41.1417,-8.573094
"T321",41.148774,-8.585766
"T322",41.157279,-8.601885
"T323",41.148792,-8.616141
"T324",41.160852,-8.606097
"T325",41.152545,-8.648136
"T326",41.168817,-8.58456
"T327",41.211576,-8.561781
